"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US13135050425","Census Tract 504.25, Gwinnett County, Georgia","5516","384"
"1400000US13123080100","Census Tract 801, Gilmer County, Georgia","4220","434"
"1400000US13185011302","Census Tract 113.02, Lowndes County, Georgia","1925","330"
"1400000US13275960200","Census Tract 9602, Thomas County, Georgia","4143","400"
"1400000US13135050216","Census Tract 502.16, Gwinnett County, Georgia","10623","878"
"1400000US13285960202","Census Tract 9602.02, Troup County, Georgia","2276","237"
"1400000US13089021808","Census Tract 218.08, DeKalb County, Georgia","4974","449"
"1400000US13121010106","Census Tract 101.06, Fulton County, Georgia","4444","393"
"1400000US13097080202","Census Tract 802.02, Douglas County, Georgia","10645","1054"
"1400000US13147960300","Census Tract 9603, Hart County, Georgia","3343","411"
"1400000US13277960800","Census Tract 9608, Tift County, Georgia","2274","275"
"1400000US13135050427","Census Tract 504.27, Gwinnett County, Georgia","6439","398"
"1400000US13089023306","Census Tract 233.06, DeKalb County, Georgia","7397","641"
"1400000US13121011616","Census Tract 116.16, Fulton County, Georgia","5844","452"
"1400000US13059000401","Census Tract 4.01, Clarke County, Georgia","1353","172"
"1400000US13215010104","Census Tract 101.04, Muscogee County, Georgia","6870","613"
"1400000US13135050729","Census Tract 507.29, Gwinnett County, Georgia","3510","416"
"1400000US13067031101","Census Tract 311.01, Cobb County, Georgia","5605","504"
"1400000US13135050320","Census Tract 503.20, Gwinnett County, Georgia","5880","485"
"1400000US13127000700","Census Tract 7, Glynn County, Georgia","8576","688"
"1400000US13089021305","Census Tract 213.05, DeKalb County, Georgia","4901","334"
"1400000US13299950400","Census Tract 9504, Ware County, Georgia","1826","217"
"1400000US13073030506","Census Tract 305.06, Columbia County, Georgia","12947","1272"
"1400000US13121004000","Census Tract 40, Fulton County, Georgia","2323","318"
"1400000US13073030505","Census Tract 305.05, Columbia County, Georgia","8095","976"
"1400000US13149970200","Census Tract 9702, Heard County, Georgia","4327","334"
"1400000US13179010202","Census Tract 102.02, Liberty County, Georgia","4202","484"
"1400000US13021013101","Census Tract 131.01, Bibb County, Georgia","5226","580"
"1400000US13073030203","Census Tract 302.03, Columbia County, Georgia","6360","699"
"1400000US13121004200","Census Tract 42, Fulton County, Georgia","2453","320"
"1400000US13145120300","Census Tract 1203, Harris County, Georgia","9477","621"
"1400000US13247060304","Census Tract 603.04, Rockdale County, Georgia","5900","739"
"1400000US13135050415","Census Tract 504.15, Gwinnett County, Georgia","3628","433"
"1400000US13121007807","Census Tract 78.07, Fulton County, Georgia","3368","769"
"1400000US13085970201","Census Tract 9702.01, Dawson County, Georgia","7600","524"
"1400000US13021010400","Census Tract 104, Bibb County, Georgia","1855","449"
