"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=008&freq=A&start=2001&end=2019&ctype=columnchart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 07 2020 05:44:27 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Natural gas : Florida","thousand megawatthours","ELEC.GEN.NG-FL-98.A",42381,61948,67142,75650,82801,95455,99599,102672,117250,127085,134986,148296,137487,138735,154400,157012,159635,170292,180319
"Natural gas : Georgia","thousand megawatthours","ELEC.GEN.NG-GA-98.A",3314,6428,4024,5912,9571,12755,15879,13162,20006,23394,26037,41740,39736,40584,49880,52420,52131,51379,58076
"Natural gas : Maryland","thousand megawatthours","ELEC.GEN.NG-MD-98.A",1704,2162,1154,1108,1842,1687,2127,1790,1708,2839,2022,4658,2445,2089,4031,4919,6112,12950,13535
"Natural gas : North Carolina","thousand megawatthours","ELEC.GEN.NG-NC-98.A",1495,3536,1569,2539,3141,3174,4420,4165,4843,8399,11095,19224,27886,28643,36361,39134,38398,43219,40864
"Natural gas : South Carolina","thousand megawatthours","ELEC.GEN.NG-SC-98.A",1148,4454,1651,3787,5406,6056,5958,5725,9771,10916,12915,14241,11771,11373,16510,16304,17033,21525,23795
"Natural gas : Virginia","thousand megawatthours","ELEC.GEN.NG-VA-98.A",3931,3882,4262,6116,7981,7006,10759,9182,12052,16915,18238,24820,22403,20577,32747,40266,43817,49401,57195
"Natural gas : West Virginia","thousand megawatthours","ELEC.GEN.NG-WV-98.A",200,178,210,145,214,329,363,168,102,131,246,228,270,653,1304,980,1018,1068,1602
"Natural gas : East South Central","thousand megawatthours","ELEC.GEN.NG-ESC-98.A",26134,32421,20820,26986,30337,35799,45837,42931,54788,71373,80876,102347,81986,87760,114172,125164,117213,133481,134589
"Natural gas : Alabama","thousand megawatthours","ELEC.GEN.NG-AL-98.A",8540,14490,11011,14949,13215,18819,22665,21468,30905,38298,46863,54679,45593,47295,54817,56730,51785,57500,55638
"Natural gas : Kentucky","thousand megawatthours","ELEC.GEN.NG-KY-98.A",349,1163,288,422,1493,1021,1600,798,664,1617,1308,2718,1214,2255,5709,7975,10141,14411,15106
"Natural gas : Mississippi","thousand megawatthours","ELEC.GEN.NG-MS-98.A",17027,16554,9086,11432,15184,15421,20984,20299,22919,29269,29622,37058,30404,32254,44698,49680,45701,48998,48274
"Natural gas : Tennessee","thousand megawatthours","ELEC.GEN.NG-TN-98.A",219,215,435,183,446,537,588,367,300,2189,3083,7892,4775,5955,8947,10779,9586,12571,15572
"Natural gas : West South Central","thousand megawatthours","ELEC.GEN.NG-WSC-98.A",198141,219104,205899,206725,224419,224833,228494,226188,224695,225698,240437,266349,234804,233017,287603,279062,245241,295433,320833
"Natural gas : Arkansas","thousand megawatthours","ELEC.GEN.NG-AR-98.A",2413,4263,7086,4824,5838,9129,8172,8138,10988,12244,12739,16895,11874,9332,14544,17854,17000,20288,21430
"Natural gas : Louisiana","thousand megawatthours","ELEC.GEN.NG-LA-98.A",22477,31195,23469,25584,26688,19482,22023,23448,22292,27639,30129,34567,27540,30144,41284,39835,33664,36872,41711
"Natural gas : Oklahoma","thousand megawatthours","ELEC.GEN.NG-OK-98.A",17471,20549,21323,22793,28123,32507,33008,33514,34451,33807,32725,38910,30029,26507,34106,36360,30199,41242,43775
"Natural gas : Texas","thousand megawatthours","ELEC.GEN.NG-TX-98.A",155780,163096,154021,153525,163770,163714,165291,161089,156964,152007,164845,175977,165361,167034,197669,185014,164379,197031,213916
"Natural gas : Mountain","thousand megawatthours","ELEC.GEN.NG-MTN-98.A",40705,43443,47444,60637,66096,76016,91031,92520,90788,80578,70026,83143,83702,81482,95196,97127,86037,103301,114054
"Natural gas : Arizona","thousand megawatthours","ELEC.GEN.NG-AZ-98.A",12855,17258,18917,28210,28807,32800,38388,38746,34670,29603,23187,30175,29547,27110,33527,34041,29448,37027,45948
"Natural gas : Colorado","thousand megawatthours","ELEC.GEN.NG-CO-98.A",9147,8765,9026,10597,11799,11813,14963,13429,13823,11045,10170,10505,10685,11929,11621,12658,12509,16379,17068
"Natural gas : Idaho","thousand megawatthours","ELEC.GEN.NG-ID-98.A",1299,247,1324,1642,1537,1263,1618,1664,1594,1659,1069,1849,3349,2522,3734,3142,2908,3147,4092
"Natural gas : Montana","thousand megawatthours","ELEC.GEN.NG-MT-98.A",11,8,19,14,13,50,96,54,69,53,418,464,614,515,599,472,413,472,504
"Natural gas : Nevada","thousand megawatthours","ELEC.GEN.NG-NV-98.A",11514,12211,13253,16381,18836,20839,21851,23633,25673,23427,21614,25325,24452,22659,28628,28578,26274,26297,25402
"Natural gas : New Mexico","thousand megawatthours","ELEC.GEN.NG-NM-98.A",4381,3244,3332,2885,3898,5805,6584,7689,8590,8439,8447,8721,8887,8837,9242,9840,9016,11500,11693
"Natural gas : Utah","thousand megawatthours","ELEC.GEN.NG-UT-98.A",1224,1356,1361,865,1150,3366,7360,7210,6270,6300,5084,6058,6117,7833,7704,8209,5310,8245,8935
"Natural gas : Wyoming","thousand megawatthours","ELEC.GEN.NG-WY-98.A",274,353,213,44,56,80,171,95,99,54,37,46,51,78,140,186,159,234,413
"Natural gas : Pacific Contiguous","thousand megawatthours","ELEC.GEN.NG-PCC-98.A",116391,85907,91948,106382,100125,109542,122723,131938,126846,118758,88025,122594,130759,129989,131869,110549,101581,105755,109275
"Natural gas : California","thousand megawatthours","ELEC.GEN.NG-CA-98.A",97139,73994,75467,85587,79392,91726,101383,105636,99297,92923,74865,105782,105188,106440,102770,84476,75907,77519,73455
"Natural gas : Oregon","thousand megawatthours","ELEC.GEN.NG-OR-98.A",10537,7410,9495,12401,12217,10383,14093,16546,15640,15532,8373,11441,14235,12552,16130,15199,14942,17805,20816
"Natural gas : Washington","thousand megawatthours","ELEC.GEN.NG-WA-98.A",8715,4503,6987,8394,8515,7433,7247,9755,11909,10303,4787,5370,11336,10997,12969,10873,10733,10431,15004
"Natural gas : Pacific Noncontiguous","thousand megawatthours","ELEC.GEN.NG-PCN-98.A",3028,2953,3148,3475,3577,3940,3788,3942,3519,3685,3846,3566,3356,3219,3019,2977,3170,2883,2619
"Natural gas : Alaska","thousand megawatthours","ELEC.GEN.NG-AK-98.A",3028,2953,3148,3475,3577,3940,3788,3942,3519,3685,3846,3566,3356,3219,3019,2977,3170,2883,2619
"Natural gas : Hawaii","thousand megawatthours","ELEC.GEN.NG-HI-98.A",0,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
