Report generated on: 10-11-2020 09:21:09
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-MEX-BCF.A","            Dry natural gas (bcf)","900","969","1045","1027","1009","999","886","898","905","866","903","899","878.6372","923.451935","951.562675","936.62443","1053.72897","1161.08657","1246.47824","1262.1581","1296.7668","1282.6408","1318.768045","1384.100795","1448.656615","1512.576765","1677.921595","1781.253285","1772.565795","2106.922","1769.241","1685.924","1626.375","1593.749","1566.893","1425.735","1295.910108","1114.76694","999.3729776","954.8304817"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-MEX-BCF.A","            Dry natural gas (bcf)","799","865","943","945","946","990","880","893","904","881","918","978.367","991.397995","1058.920275","1101.298275","1106.91336","1167.58453","1240.9691","1423.936115","1371.387395","1472.247035","1494.283595","1684.137035","1893.837505","1988.65828","1947.48099","2173.78","2279.971715","2361.30216","2552.809","2269.231","2329.08","2426.19","2529.17","2569.804","2756","2864.5898247862","2881.5005476463","2932.573013","3040.641014"
