"Consumption for electricity generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/3?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=008&freq=A&start=2001&end=2019&ctype=columnchart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sat Nov 07 2020 05:43:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Natural gas : District Of Columbia","thousand Mcf","ELEC.CONS_EG.NG-DC-98.A","--","--","--","--","--","--","--","--","--","--",1003,"--","--","--",0,0,0,"--","--"
"Natural gas : Florida","thousand Mcf","ELEC.CONS_EG.NG-FL-98.A",372838,520221,534480,583450,627888,739925,771112,795044,911300,979614,1041495,1133881,1030725,1034378,1154320,1178852,1184747,1264604,1319220
"Natural gas : Georgia","thousand Mcf","ELEC.CONS_EG.NG-GA-98.A",34504,56514,32181,45463,71646,94716,120916,96140,142432,174811,196149,307531,279384,289649,355357,378447,369630,373254,426705
"Natural gas : Maryland","thousand Mcf","ELEC.CONS_EG.NG-MD-98.A",17252,21951,10644,9594,18378,16177,20844,17239,15429,28311,20026,48313,23236,18569,37782,48046,49413,96425,95219
"Natural gas : North Carolina","thousand Mcf","ELEC.CONS_EG.NG-NC-98.A",16087,31748,14190,21422,27009,28374,40154,35963,39916,73072,89799,150866,201489,205740,269354,293272,278240,330119,303694
"Natural gas : South Carolina","thousand Mcf","ELEC.CONS_EG.NG-SC-98.A",10832,36610,13463,30230,43969,48885,49819,45736,74237,86579,99850,115917,89907,86055,135244,131251,132473,168833,177863
"Natural gas : Virginia","thousand Mcf","ELEC.CONS_EG.NG-VA-98.A",32847,34766,35255,48519,66641,59800,89843,76578,93992,138450,141469,188629,170805,158330,241856,294123,311144,356464,407425
"Natural gas : West Virginia","thousand Mcf","ELEC.CONS_EG.NG-WV-98.A",2620,1885,2083,1388,2273,3648,3849,1889,1109,1480,2579,2360,2838,6708,13219,10161,10419,10722,16436
"Natural gas : East South Central","thousand Mcf","ELEC.CONS_EG.NG-ESC-98.A",225211,287066,191511,231175,263019,304315,385300,345000,422158,558247,628284,785692,618075,652220,847103,918020,858726,995649,994113
"Natural gas : Alabama","thousand Mcf","ELEC.CONS_EG.NG-AL-98.A",68868,111891,86142,116648,104648,145419,175637,163661,226746,281557,342344,400196,332652,344171,395246,397588,363843,414405,404251
"Natural gas : Kentucky","thousand Mcf","ELEC.CONS_EG.NG-KY-98.A",4433,13712,3667,4833,17181,12287,19376,9584,8399,19284,15575,31194,14536,26793,51723,66359,81208,112656,112369
"Natural gas : Mississippi","thousand Mcf","ELEC.CONS_EG.NG-MS-98.A",149432,158867,96081,107432,135562,139918,182996,167345,183344,235250,244051,291341,234274,236234,330593,366598,338647,365497,358768
"Natural gas : Tennessee","thousand Mcf","ELEC.CONS_EG.NG-TN-98.A",2479,2596,5621,2262,5627,6691,7291,4411,3668,22156,26314,62961,36613,45022,69540,87475,75028,103091,118725
"Natural gas : West South Central","thousand Mcf","ELEC.CONS_EG.NG-WSC-98.A",1880148,1993103,1843571,1701894,1838480,1841659,1872737,1857579,1819771,1842527,1948790,2117172,1872938,1806335,2169272,2091510,1841298,2241717,2450028
"Natural gas : Arkansas","thousand Mcf","ELEC.CONS_EG.NG-AR-98.A",24446,37920,50589,32469,42211,65702,59370,58720,77360,91341,100753,122523,86901,66318,103123,129795,121586,146438,153871
"Natural gas : Louisiana","thousand Mcf","ELEC.CONS_EG.NG-LA-98.A",243017,323803,234462,229616,237921,177088,204311,219361,207579,253157,276275,304965,261398,258366,335306,325064,274158,295132,336945
"Natural gas : Oklahoma","thousand Mcf","ELEC.CONS_EG.NG-OK-98.A",173407,194259,196138,199907,240874,277633,286330,282843,284516,288755,264045,317759,247460,207533,254370,276963,228583,317127,337487
"Natural gas : Texas","thousand Mcf","ELEC.CONS_EG.NG-TX-98.A",1439279,1437120,1362382,1239902,1317474,1321236,1322726,1296655,1250317,1209274,1307718,1371924,1277179,1274117,1476473,1359689,1216970,1483020,1621726
"Natural gas : Mountain","thousand Mcf","ELEC.CONS_EG.NG-MTN-98.A",391351,383184,420533,505306,512213,592716,698036,699641,697112,619761,548446,637210,641893,622533,711385,725257,653490,792935,883346
"Natural gas : Arizona","thousand Mcf","ELEC.CONS_EG.NG-AZ-98.A",128843,145095,169943,239637,216483,247257,278975,283288,261469,224152,180776,228672,222692,205610,248326,255472,223927,284589,356198
"Natural gas : Colorado","thousand Mcf","ELEC.CONS_EG.NG-CO-98.A",83250,75731,76187,81432,90691,91279,122492,105376,113696,91111,84112,84746,87382,94448,89482,93011,93823,122561,127506
"Natural gas : Idaho","thousand Mcf","ELEC.CONS_EG.NG-ID-98.A",10115,2600,8918,11123,10705,8879,11915,12261,11960,11987,7909,13221,24449,17966,27319,23284,20924,23683,31409
"Natural gas : Montana","thousand Mcf","ELEC.CONS_EG.NG-MT-98.A",160,116,259,195,213,544,1000,513,656,705,4681,5370,7273,5662,6558,5363,4688,5129,5495
"Natural gas : Nevada","thousand Mcf","ELEC.CONS_EG.NG-NV-98.A",105521,106474,114027,132148,144097,163363,168050,176887,188454,172605,159558,185818,177808,165040,206361,205711,192603,195569,188652
"Natural gas : New Mexico","thousand Mcf","ELEC.CONS_EG.NG-NM-98.A",45594,33965,34231,30817,37209,51615,57142,64853,69813,70211,70855,71749,72194,74198,75675,81224,75395,98370,103430
"Natural gas : Utah","thousand Mcf","ELEC.CONS_EG.NG-UT-98.A",15141,15439,14484,9423,12239,28953,56438,55374,49984,48399,40138,47138,49561,58779,56431,59678,40824,61161,67386
"Natural gas : Wyoming","thousand Mcf","ELEC.CONS_EG.NG-WY-98.A",2727,3764,2484,532,576,827,2024,1088,1079,592,418,496,535,831,1233,1514,1307,1873,3271
"Natural gas : Pacific Contiguous","thousand Mcf","ELEC.CONS_EG.NG-PCC-98.A",1083674,756729,770247,838121,761357,834215,920318,982785,941452,866902,661339,920726,960940,957885,973584,805210,741970,764456,784759
"Natural gas : California","thousand Mcf","ELEC.CONS_EG.NG-CA-98.A",920410,666247,642597,690286,614343,706340,768080,798676,748432,684831,567627,801345,777388,790213,766962,622526,562822,569235,536843
"Natural gas : Oregon","thousand Mcf","ELEC.CONS_EG.NG-OR-98.A",82180,54925,73877,87531,86595,74270,100198,115007,107736,107869,59338,80615,100850,88715,111946,105837,103080,122347,143011
"Natural gas : Washington","thousand Mcf","ELEC.CONS_EG.NG-WA-98.A",81084,35556,53773,60304,60420,53604,52040,69102,85284,74203,34374,38765,82702,78956,94676,76846,76067,72873,104905
"Natural gas : Pacific Noncontiguous","thousand Mcf","ELEC.CONS_EG.NG-PCN-98.A",32588,31704,34403,37641,39284,43288,40901,43199,38078,39732,41738,39758,33944,31944,30207,28224,28933,25393,24401
"Natural gas : Alaska","thousand Mcf","ELEC.CONS_EG.NG-AK-98.A",32588,31704,34403,37641,39284,43288,40901,43199,38078,39732,41738,39758,33944,31944,30207,28224,28933,25393,24401
"Natural gas : Hawaii","thousand Mcf","ELEC.CONS_EG.NG-HI-98.A",0,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
