"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45031011100","Census Tract 111, Darlington County, South Carolina","2034","258"
"1400000US45027960202","Census Tract 9602.02, Clarendon County, South Carolina","1266","214"
"1400000US45031011600","Census Tract 116, Darlington County, South Carolina","3240","296"
"1400000US45079001300","Census Tract 13, Richland County, South Carolina","2370","358"
"1400000US45067950800","Census Tract 9508, Marion County, South Carolina","2615","389"
"1400000US45073030402","Census Tract 304.02, Oconee County, South Carolina","2088","184"
"1400000US45027960701","Census Tract 9607.01, Clarendon County, South Carolina","3679","289"
"1400000US45089970801","Census Tract 9708.01, Williamsburg County, South Carolina","2526","341"
"1400000US45045002905","Census Tract 29.05, Greenville County, South Carolina","4964","394"
"1400000US45009960100","Census Tract 9601, Bamberg County, South Carolina","5176","427"
"1400000US45091061802","Census Tract 618.02, York County, South Carolina","5099","387"
"1400000US45069960302","Census Tract 9603.02, Marlboro County, South Carolina","5122","447"
"1400000US45059920502","Census Tract 9205.02, Laurens County, South Carolina","5854","535"
"1400000US45027960400","Census Tract 9604, Clarendon County, South Carolina","2253","185"
"1400000US45079010806","Census Tract 108.06, Richland County, South Carolina","1023","311"
"1400000US45051080101","Census Tract 801.01, Horry County, South Carolina","3617","360"
"1400000US45021970601","Census Tract 9706.01, Cherokee County, South Carolina","4557","672"
"1400000US45079010900","Census Tract 109, Richland County, South Carolina","2917","342"
"1400000US45045002805","Census Tract 28.05, Greenville County, South Carolina","5039","644"
"1400000US45051040103","Census Tract 401.03, Horry County, South Carolina","5750","679"
"1400000US45045003602","Census Tract 36.02, Greenville County, South Carolina","2757","242"
"1400000US45083020500","Census Tract 205, Spartanburg County, South Carolina","1383","117"
"1400000US45041000900","Census Tract 9, Florence County, South Carolina","3871","447"
"1400000US45045002609","Census Tract 26.09, Greenville County, South Carolina","6270","481"
"1400000US45083022003","Census Tract 220.03, Spartanburg County, South Carolina","4049","418"
"1400000US45091060600","Census Tract 606, York County, South Carolina","1860","176"
"1400000US45045002301","Census Tract 23.01, Greenville County, South Carolina","4036","357"
"1400000US45013000800","Census Tract 8, Beaufort County, South Carolina","6314","609"
"1400000US45047970101","Census Tract 9701.01, Greenwood County, South Carolina","3779","313"
"1400000US45051070601","Census Tract 706.01, Horry County, South Carolina","4411","420"
"1400000US45041000102","Census Tract 1.02, Florence County, South Carolina","6117","387"
"1400000US45083020601","Census Tract 206.01, Spartanburg County, South Carolina","3036","482"
"1400000US45013000300","Census Tract 3, Beaufort County, South Carolina","4621","502"
"1400000US45053990100","Census Tract 9901, Jasper County, South Carolina","0","12"
"1400000US45051040400","Census Tract 404, Horry County, South Carolina","4154","411"
"1400000US45079001600","Census Tract 16, Richland County, South Carolina","1431","211"
"1400000US45083023404","Census Tract 234.04, Spartanburg County, South Carolina","7817","502"
"1400000US45021970301","Census Tract 9703.01, Cherokee County, South Carolina","4182","445"
"1400000US45021970401","Census Tract 9704.01, Cherokee County, South Carolina","3365","492"
"1400000US45089970802","Census Tract 9708.02, Williamsburg County, South Carolina","1363","245"
"1400000US45057010600","Census Tract 106, Lancaster County, South Carolina","6185","617"
"1400000US45049920100","Census Tract 9201, Hampton County, South Carolina","2580","336"
"1400000US45019002300","Census Tract 23, Charleston County, South Carolina","1779","254"
"1400000US45045001809","Census Tract 18.09, Greenville County, South Carolina","3190","230"
"1400000US45073030602","Census Tract 306.02, Oconee County, South Carolina","4361","322"
"1400000US45079002500","Census Tract 25, Richland County, South Carolina","3878","382"
"1400000US45043920302","Census Tract 9203.02, Georgetown County, South Carolina","2772","336"
"1400000US45089970400","Census Tract 9704, Williamsburg County, South Carolina","2481","333"
"1400000US45085001901","Census Tract 19.01, Sumter County, South Carolina","5764","608"
"1400000US45079011404","Census Tract 114.04, Richland County, South Carolina","9390","624"
"1400000US45019003300","Census Tract 33, Charleston County, South Carolina","4262","598"
"1400000US45015020718","Census Tract 207.18, Berkeley County, South Carolina","5718","531"
"1400000US45065920300","Census Tract 9203, McCormick County, South Carolina","2178","242"
"1400000US45051050401","Census Tract 504.01, Horry County, South Carolina","2828","308"
"1400000US45019003500","Census Tract 35, Charleston County, South Carolina","2985","245"
"1400000US45053950300","Census Tract 9503, Jasper County, South Carolina","8756","787"
"1400000US45085000202","Census Tract 2.02, Sumter County, South Carolina","7540","847"
"1400000US45045001808","Census Tract 18.08, Greenville County, South Carolina","3796","492"
"1400000US45015020505","Census Tract 205.05, Berkeley County, South Carolina","4091","352"
"1400000US45063020508","Census Tract 205.08, Lexington County, South Carolina","2053","169"
"1400000US45079011000","Census Tract 110, Richland County, South Carolina","1612","223"
"1400000US45091060501","Census Tract 605.01, York County, South Carolina","3344","351"
